Rainbow Team,Page,Link Text,Link,Status,Problem,Sessions,Org(s)
Yellow,https://www.gov.uk/dbs-update-service,register for an online services account,https://disclosure.homeoffice.gov.uk/HomeOfficeExternalPortal/faces/wcnav_defaultSelection?_afrLoop=800848214483403&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=srz79q8mz_1,SSL Error,SSL_connect returned=1 errno=0 peeraddr=168.87.249.234:443 state=error: certificate verify failed (unable to get local issuer certificate),302521,Disclosure and Barring Service
Yellow,https://www.gov.uk/find-a-visa-application-centre,Bulgaria,https://visa.vfsglobal.com/bgr/en/gbr/attend-centre,404,Not Found,72801,UK Visas and Immigration
Yellow,https://www.gov.uk/find-a-visa-application-centre,Chile,https://visa.vfsglobal.com/chl/en/gbr/attend-centre,404,Not Found,72801,UK Visas and Immigration
Yellow,https://www.gov.uk/find-a-visa-application-centre,Colombia,https://visa.vfsglobal.com/col/en/gbr/attend-centre,404,Not Found,72801,UK Visas and Immigration
Yellow,https://www.gov.uk/find-a-visa-application-centre,Iran,https://visa.vfsglobal.com/irn/en/gbr/attend-centre,404,Not Found,72801,UK Visas and Immigration
Yellow,https://www.gov.uk/find-a-visa-application-centre,Iceland,https://visa.vfsglobal.com/isl/en/gbr/attend-centre,404,Not Found,72801,UK Visas and Immigration
Yellow,https://www.gov.uk/find-a-visa-application-centre,Kenya,https://visa.vfsglobal.com/ken/en/gbr/attend-centre,404,Not Found,72801,UK Visas and Immigration
Yellow,https://www.gov.uk/find-a-visa-application-centre,New Zealand,https://visa.vfsglobal.com/nzl/en/gbr/attend-centre,404,Not Found,72801,UK Visas and Immigration
Yellow,https://www.gov.uk/find-a-visa-application-centre,Pakistan,https://visa.vfsglobal.com/pak/en/gbr/attend-centre,404,Not Found,72801,UK Visas and Immigration
Yellow,https://www.gov.uk/find-a-visa-application-centre,Saudi Arabia,https://visa.vfsglobal.com/sau/en/gbr/attend-centre,404,Not Found,72801,UK Visas and Immigration
Yellow,https://www.gov.uk/find-a-visa-application-centre,Singapore,https://visa.vfsglobal.com/sgp/en/gbr/attend-centre,404,Not Found,72801,UK Visas and Immigration
Yellow,https://www.gov.uk/find-a-visa-application-centre,Serbia,https://visa.vfsglobal.com/srb/en/gbr/attend-centre,404,Not Found,72801,UK Visas and Immigration
Yellow,https://www.gov.uk/find-a-visa-application-centre,Slovenia,https://visa.vfsglobal.com/svn/en/gbr/attend-centre,404,Not Found,72801,UK Visas and Immigration
Yellow,https://www.gov.uk/find-a-visa-application-centre,USA,https://visa.vfsglobal.com/usa/en/gbr/attend-centre,404,Not Found,72801,UK Visas and Immigration
Yellow,https://www.gov.uk/find-a-visa-application-centre,South Africa,https://visa.vfsglobal.com/zaf/en/gbr/attend-centre,404,Not Found,72801,UK Visas and Immigration
Yellow,https://www.gov.uk/call-charges,Phone-paid Services Authority,http://psauthority.org.uk/,DNS Error,Failed to open TCP connection to psauthority.org.uk:80 (getaddrinfo: Name or service not known),51719,Ofcom
Yellow,https://www.gov.uk/research-family-history,Library of Birmingham,http://libraryofbirmingham.com/,Timeout,Failed to open TCP connection to libraryofbirmingham.com:80 (execution expired),47914,HM Passport Office
Yellow,https://www.gov.uk/research-family-history,City of Westminster Archives Centre,http://www.westminster.gov.uk/services/libraries/archives/,404,Not Found,47914,HM Passport Office
Yellow,https://www.gov.uk/research-family-history,GRO online Index of historic births (1837 to 1934) and deaths (1837 to 1957),https://www.gro.gov.uk,SSL Error,SSL_connect returned=1 errno=0 peeraddr=81.144.203.211:443 state=error: certificate verify failed (unable to get local issuer certificate),47914,HM Passport Office
Yellow,https://www.gov.uk/youth-mobility/apply,Check how much you’ll have to pay,https://www.immigration-health-surcharge.service.gov.uk/checker/type,DNS Error,Failed to open TCP connection to www.immigration-health-surcharge.service.gov.uk:443 (getaddrinfo: Name or service not known),27179,UK Visas and Immigration
Yellow,https://www.gov.uk/general-register-office,order certificates online,https://www.gro.gov.uk/gro/content/certificates/default.asp,SSL Error,SSL_connect returned=1 errno=0 peeraddr=81.144.203.211:443 state=error: certificate verify failed (unable to get local issuer certificate),20207,HM Passport Office
Yellow,https://www.gov.uk/find-an-immigration-adviser,find a registered adviser near you,https://portal.oisc.gov.uk/s/adviser-finder,SSL Error,SSL_connect returned=1 errno=0 peeraddr=155.226.157.182:443 state=error: certificate verify failed (unable to get local issuer certificate),12236,Immigration Advice Authority
Yellow,https://www.gov.uk/change-circumstances-visa-brp,report a change of address online,https://visa-address-update.service.gov.uk/,Timeout,Failed to open TCP connection to visa-address-update.service.gov.uk:443 (execution expired),11217,UK Visas and Immigration
Yellow,https://www.gov.uk/report-immigration-crime,report an immigration adviser,https://portal.immigrationadviceauthority.gov.uk/s/report-something-to-us,SSL Error,SSL_connect returned=1 errno=0 peeraddr=155.226.157.188:443 state=error: certificate verify failed (unable to get local issuer certificate),10520,Border Force
Yellow,https://www.gov.uk/immigration-asylum-tribunal,Correspondence between Home Office and Upper Tribunal Immigration and Asylum Chamber,https://www.judiciary.uk/publications/correspondence-between-home-office-and-upper-tribunal-immigration-and-asylum-chamber/,404,Not Found,7893,UK Visas and Immigration
Yellow,https://www.gov.uk/immigration-asylum-tribunal/appeal-decision-online,Correspondence between Home Office and Upper Tribunal Immigration and Asylum Chamber,https://www.judiciary.uk/publications/correspondence-between-home-office-and-upper-tribunal-immigration-and-asylum-chamber/,404,Not Found,6562,UK Visas and Immigration
Yellow,https://www.gov.uk/improve-energy-efficiency,view immediate energy saving tips (Help for Households),https://helpforhouseholds.campaign.gov.uk/energy-saving-advice/,404,Not Found,5371,Department for Energy Security and Net Zero
Yellow,https://www.gov.uk/set-up-a-social-enterprise,Social Enterprise UK,http://www.socialenterprise.org.uk/,Timeout,Net::ReadTimeout with #<TCPSocket:(closed)>,3529,Companies House
Yellow,https://www.gov.uk/criminal-record-checks-apply-role/application-process,register an online services account,https://disclosure.homeoffice.gov.uk/,SSL Error,SSL_connect returned=1 errno=0 peeraddr=168.87.249.234:443 state=error: certificate verify failed (unable to get local issuer certificate),3126,Disclosure and Barring Service
Yellow,https://www.gov.uk/adoption-records,General Register Office.,http://www.gro.gov.uk/gro/content/certificates/default.asp,Timeout,Failed to open TCP connection to www.gro.gov.uk:80 (execution expired),2555,HM Passport Office
Yellow,https://www.gov.uk/software-company-changes,Efaze Ltd BVI,http://www.efaze.com/,Timeout,Failed to open TCP connection to www.efaze.com:80 (execution expired),1881,Companies House
Yellow,https://www.gov.uk/software-company-changes,zetVisions AG,http://www.zetvisions.com/en/,404,Not Found,1881,Companies House
Yellow,https://www.gov.uk/software-company-changes,Advanced,https://www.oneadvanced.com/solutions/cloud-forms/,404,Not Found,1881,Companies House
Yellow,https://www.gov.uk/help/about-govuk,Ordnance Survey,http://www.ordnancesurvey.co.uk/oswebsite/,404,Not Found,1720,Government Digital Service
Yellow,https://www.gov.uk/change-circumstances-visa-brp/youre-in-the-uk-and-dont-have-a-brp,update your address or your legal representative’s address online,https://visa-address-update.service.gov.uk/,Timeout,Failed to open TCP connection to visa-address-update.service.gov.uk:443 (execution expired),1589,UK Visas and Immigration
Yellow,https://www.gov.uk/correct-birth-registration/how-to-apply,correcting registrations made in Scotland,https://www.nrscotland.gov.uk/registration/about-registration-in-scotland#corr,404,Not Found,1565,HM Passport Office
Yellow,https://www.gov.uk/reasonable-force-against-intruders,guidance from the Crown Prosecution Service,https://www.cps.gov.uk/publication/householders-and-use-force-against-intruders,404,Not Found,1358,Home Office
Yellow,https://www.gov.uk/dbs-check-applicant-criminal-record/get-a-basic-dbs-check-for-an-employee-or-volunteer,DBS online account,https://disclosure.homeoffice.gov.uk,SSL Error,SSL_connect returned=1 errno=0 peeraddr=168.87.249.234:443 state=error: certificate verify failed (unable to get local issuer certificate),1283,Disclosure and Barring Service
Yellow,https://www.gov.uk/asylum-support/how-to-claim,NHS 111,http://www.nhs.uk/NHSEngland/AboutNHSservices/Emergencyandurgentcareservices/Pages/NHS-111.aspx,404,Not Found,1137,Home Office
Yellow,https://www.gov.uk/commemorative-marriage-certificate,Start now,https://www.gro.gov.uk/gro/content/certificates/default.asp,SSL Error,SSL_connect returned=1 errno=0 peeraddr=81.144.203.211:443 state=error: certificate verify failed (unable to get local issuer certificate),1037,HM Passport Office
Yellow,https://www.gov.uk/visa-to-study-english/your-course,Accreditation UK,http://www.britishcouncil.org/education/accreditation/centres,Timeout,Net::ReadTimeout with #<TCPSocket:(closed)>,1031,UK Visas and Immigration
Yellow,https://www.gov.uk/asylum-helplines,Fill in the Migrant Help UK contact form,https://ellis.custhelp.com/app/ask,DNS Error,Failed to open TCP connection to ellis.custhelp.com:443 (getaddrinfo: Name or service not known),1025,Home Office
Yellow,https://www.gov.uk/asylum-helplines,Get help through the Migrant Help UK webchat,https://ellis.custhelp.com/app/chat/chat_launch,DNS Error,Failed to open TCP connection to ellis.custhelp.com:443 (getaddrinfo: Name or service not known),1025,Home Office
Yellow,https://www.gov.uk/immigration-asylum-tribunal/appeal-decision-post-email,Correspondence between Home Office and Upper Tribunal Immigration and Asylum Chamber,https://www.judiciary.uk/publications/correspondence-between-home-office-and-upper-tribunal-immigration-and-asylum-chamber/,404,Not Found,702,UK Visas and Immigration
Yellow,https://www.gov.uk/immigration-asylum-tribunal/get-a-decision,Correspondence between Home Office and Upper Tribunal Immigration and Asylum Chamber,https://www.judiciary.uk/publications/correspondence-between-home-office-and-upper-tribunal-immigration-and-asylum-chamber/,404,Not Found,483,UK Visas and Immigration
Yellow,https://www.gov.uk/immigration-asylum-tribunal/urgent-appeals,Correspondence between Home Office and Upper Tribunal Immigration and Asylum Chamber,https://www.judiciary.uk/publications/correspondence-between-home-office-and-upper-tribunal-immigration-and-asylum-chamber/,404,Not Found,382,UK Visas and Immigration
Yellow,https://www.gov.uk/adoption-records/intermediary-agencies,General Register Office,http://www.gro.gov.uk/gro/content/,Timeout,Failed to open TCP connection to www.gro.gov.uk:80 (execution expired),353,HM Passport Office
Yellow,https://www.gov.uk/report-smuggling,Start now,https://www.amsallegations.homeoffice.gov.uk/default.aspx/RenderForm/?F.Name=Lf62UB7cz4C,Timeout,Failed to open TCP connection to www.amsallegations.homeoffice.gov.uk:443 (execution expired),352,Border Force
Yellow,https://www.gov.uk/marketing-advertising-law/direct-marketing,Mail Preference Service,https://corporate.mpsonline.org.uk/index.php/mps/faq,404,Not Found,287,Competition and Markets Authority
Yellow,https://www.gov.uk/costau-galwadau,Phone-paid Services Authority,http://psauthority.org.uk/,DNS Error,Failed to open TCP connection to psauthority.org.uk:80 (getaddrinfo: Name or service not known),277,Ofcom
Yellow,https://www.gov.uk/immigration-asylum-tribunal/if-theres-a-hearing,Correspondence between Home Office and Upper Tribunal Immigration and Asylum Chamber,https://www.judiciary.uk/publications/correspondence-between-home-office-and-upper-tribunal-immigration-and-asylum-chamber/,404,Not Found,229,UK Visas and Immigration
Yellow,https://www.gov.uk/cartels-price-fixing,Competition Pro Bono Scheme,https://www.thecompetitionlawexpert.co.uk/,DNS Error,Failed to open TCP connection to www.thecompetitionlawexpert.co.uk:443 (getaddrinfo: Name or service not known),217,Competition and Markets Authority
Yellow,https://www.gov.uk/cymraeg/arian-a-threth,Talu Cytundeb Setliad TWE,https://www.gov.uk/talu-psatalu-psa,404,Not Found,167,Government Digital Service
Yellow,https://www.gov.uk/immigration-asylum-tribunal/legislation,Correspondence between Home Office and Upper Tribunal Immigration and Asylum Chamber,https://www.judiciary.uk/publications/correspondence-between-home-office-and-upper-tribunal-immigration-and-asylum-chamber/,404,Not Found,148,UK Visas and Immigration
Yellow,https://www.gov.uk/female-genital-mutilation-help-advice,AMINA - The Muslim Women’s Resource Centre,http://www.mwrc.org.uk,Timeout,Failed to open TCP connection to www.mwrc.org.uk:80 (execution expired),123,Home Office
Yellow,https://www.gov.uk/female-genital-mutilation-help-advice,Saheliya,http://www.saheliya.co.uk,DNS Error,Failed to open TCP connection to www.saheliya.co.uk:80 (getaddrinfo: Temporary failure in name resolution),123,Home Office
Yellow,https://www.gov.uk/cartels-price-fixing/types-of-anticompetitive-activity,Competition Pro Bono Scheme,http://www.probonogroup.org.uk/competition/,404,Not Found,114,Competition and Markets Authority
Yellow,https://www.gov.uk/cartels-price-fixing/types-of-anticompetitive-activity,Competition Pro Bono Scheme,https://www.thecompetitionlawexpert.co.uk/,DNS Error,Failed to open TCP connection to www.thecompetitionlawexpert.co.uk:443 (getaddrinfo: Name or service not known),114,Competition and Markets Authority
Yellow,https://www.gov.uk/defend-your-intellectual-property/use-a-mediator,Civil Mediation Council (England and Wales),http://www.civilmediation.justice.gov.uk/,DNS Error,Failed to open TCP connection to www.civilmediation.justice.gov.uk:80 (getaddrinfo: No address associated with hostname),29,Intellectual Property Office
Yellow,https://www.gov.uk/register-as-green-homes-grant-installer,Contact the Green Homes Grant team,https://green-homes-grant.service.gov.uk/contact,DNS Error,Failed to open TCP connection to green-homes-grant.service.gov.uk:443 (getaddrinfo: Name or service not known),3,Department for Energy Security and Net Zero
Yellow,https://www.gov.uk/done/apply-renew-passport,Join the NHS Organ Donor Register,https://www.organdonation.nhs.uk/how_to_become_a_donor/registration/consent.asp?campaign=2346&utm_source=hopassports&utm_medium=referral&utm_content=web&utm_campaign=partner,404,Not Found,0,HM Passport Office
